Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
Asian Development Bank,OFID,2011,2011,,2217/2767/8252,38357-013,,,SRI,National Highways Sector,SARD,SATC,08/05/2011,235,,,,235,,,,,,,,,,OCR,3700,Transport and ICT,3701,Road Transport (Non-Urban),,,Sustainable Economic Growth,,,,,,,,,,,,"Original loan (15 Dec 2005) for $150M revised in 2010 to include OFID cofinancing of $8 M, reported in 2011. OCR additional $85 million in 2011 (LN2767) Cofinancing approved in 13/Jan/2011",
OFID,OFID,2011,2011,8252,2217/2767/8252,38357-013,,,SRI,National Highways Sector,SARD,SATC,08/05/2011,,,,,0,,8,,8,DVA,,Partial Administration,Multilateral,Loan,OCR,3700,Transport and ICT,,Road Transport,01/13/2011,,,,,08/05/2011,02/20/2007,,,,Sovereign,,,,"Original loan (15 Dec 2005) for $150M revised in 2010 to include OFID cofinancing of $8 M, reported in 2011 Cofinancing approved in 13/Jan/2011 (05/Aug/2011)",
41,0,0,41,0,9,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2006,2006,,2265/8225,36297,,,BAN,Secondary Towns Water Supply and Sanitation Sector,SARD,SAUD,10/16/2006,0,41,0,,41,,,,,,,,,,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
OFID,OFID,2006,2006,8225,2265/8225,36297,,,BAN,Secondary Towns Water Supply and Sanitation Sector,SARD,SAUD,10/16/2006,,,,,0,,9,,9,DVA,PS,Partial Administration,Multilateral,Loan,,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,10/16/2006,01/31/2007,,,,Sovereign,,,,,
42,0,0,42,0,13,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Malaysia,OFID",2006,2006,,2288/2602/0187,37269-023,,,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia,SERD,SEID,12/13/2006,0,42,0,,42,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,2288 is different,
OFID,OFID,2006,2006,,2288/2602/0187,37269-023,,,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia,SERD,SEID,12/13/2006,,,,,0,,13,,13,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,12/13/2006,01/30/2008,,,,Sovereign,,,,,
56.5,0,0,56.5,0,8.5,0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2006,2006,,2303/8230,40043,,,TAJ,Regional Power Transmission Interconnection,CWRD,CWID,12/19/2006,0,56.5,0,,56.5,,,,,,,,,,ADF,3200,Energy,,,,,,,,,,,,,,,,,,
OFID,OFID,2006,2006,8230,2303/8230,40043,,,TAJ,Regional Power Transmission Interconnection,CWRD,CWID,12/19/2006,,,,,0,,8.5,,8.5,DVA,,Partial Administration,Multilateral,Loan,ADF,3200,Energy,,,,,,,,12/19/2006,08/22/2007,,05/16/2011,,Sovereign,,,,,
0,0,0,0,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFID,OFID,2007,2007,,2398-2399/0102,,,,PNG,Lae Port Development,PARD,PAHQ,12/18/2007,,,,,0,,6,,6,DVA,,Partial Administration,Multilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,12/18/2007,,,,,Sovereign,,,,,
6,0,0,6,0,7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,World Bank,OFID",2008,2008,104,2406/0104,41123,,,CAM,Road Asset Management,SERD,SEID,01/21/2008,0,6,0,,6,,,,,,,,,,ADF,3700,Transport and ICT,,,,,,,,,,,,,,,,,,
OFID,OFID,2008,2008,2406 (PL),2406/0104,41123,,,CAM,Road Asset Management,SERD,SEID,01/21/2008,,,,,0,,7,,7,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,01/21/2008,12/18/2008,,,,Sovereign,,,,,
120,0,0,120,0,20,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Canada,Japan,OFID",2008,2008,,2409/0110/0146/8233/8239,41657,,,BAN,Emergency Disaster Damage Rehabilitation (Sector),SARD,BRM,01/31/2008,0,120,0,,120,,,,,,,,,,ADF,3900,Multisector,3900,Multisector,,,,,,,,,,,,,,,,"DR 2009. para on CAN cof, pp. 36."
OFID,OFID,2008,2008,8239,2409/0110/0146/8233/8239,41657,,,BAN,Emergency Disaster Damage Rehabilitation (Sector),SARD,BRM,01/31/2008,,,,,0,,20,,20,DVA,PS,Partial Administration,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,01/31/2008,02/19/2008,,04/20/2011,,Sovereign,Highly Successful,,,,"DR 2009. para on NET cof, pp. 36."
0,0,0,16.5,0,30,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2008,2008,,2444,38411,M0022,,IND,Orissa Integrated Irrigated Agriculture and Water Management Investment Program - Tranche 1,SARD,SANS,09/18/2008,16.5,0,0,,16.5,,,,,,,,,,OCR,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
OFID,OFID,2008,2008,,2444,38411-01,M0022,,IND,Orissa Integrated Irrigated Agriculture and Water Management Investment Program - Tranche 1,SARD,SANS,09/18/2008,,,,,0,,30,,30,DVA,,Partial Administration,Multilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,09/18/2008,06/04/2009,,,,Sovereign,,,,,
0,0,0,70,0,30,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2008,2008,,2465,37749,,,PHI,Agrarian Reform Communities Project II,SERD,SEAE,10/27/2008,70,0,0,,70,,,,,,,,,,OCR,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
OFID,OFID,2008,2008,,2465,37749,,,PHI,Agrarian Reform Communities Project II,SERD,SEAE,10/27/2008,,,,,0,,30,,30,DVA,,Partial Administration,Multilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,10/27/2008,03/04/2009,,,,Sovereign,,,,,
12.75,12.75,0,25.5,0,15,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2009,2009,,2579/0179/8247,39399,,,NEP,South Asia Tourism Infrastructure Development - Nepal,SARD,SAUD,11/16/2009,0,12.75,12.75,,25.5,,,,,,,,,,ADF,3700,Transport,3704,Air Transport,,,,,,,,,,,,,,,,
OFID,OFID,2009,2009,8247,2579/0179/8247,39399,,,NEP,South Asia Tourism Infrastructure Development - Nepal,SARD,SAUD,11/16/2009,,,,,0,,15,,15,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport,,,,,,,,11/16/2009,09/03/2010,,,,Sovereign,,,,,
60,0,0,60,0,17,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2010,2010,,2650/8249,36188,,,NEP,Secondary Towns Integrated Urban Environment Improvement,SARD,,07/06/2010,0,60,0,,60,,,,,,,,,,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,,,,
OFID,OFID,2010,2010,8249,2650/8249,36188,,,NEP,Secondary Towns Integrated Urban Environment Improvement,SARD,,07/06/2010,,,,,0,,17,,17,DVA,,Partial Administration,Multilateral,Loan,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,07/06/2010,01/18/2011,,,,Sovereign,,,,,
10,2.8,0,12.8,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2010,2010,,2672/2673/0220/8253,38558,,,CAM,Water Resources Management Sector Development Program (Project Loan),SERD,SEAE,09/23/2010,0,10,2.8,,12.8,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
OFID,OFID,2010,2010,8253,2672/2673/0220/8253,38558,,,CAM,Water Resources Management Sector Development Program (Project Loan),SERD,SEAE,09/23/2010,,,,,0,,12,,12,DVA,PS,Partial Administration,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,09/23/2010,06/03/2011,,,,Sovereign,,,,,
20,0,0,20,0,9,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,OFID,Japan,WHO",2011,2011,,2785/0259/8274,41509,,,PNG,Rural Primary Health Services Delivery,PARD,PAUS,09/30/2011,,20,,,20,,,,,,,,,,ADF,3400,Health and Social Protection,3413,Health Systems,,,Inclusive Social and Gender Development,,,,,,,,,,,,,"DR 2011. new proj pp 15, 17."
OFID,OFID,2011,2011,8274,2785/0259/8274,41509,,,PNG,Rural Primary Health Services Delivery,PARD,PAUS,09/30/2011,,,,,0,,9,,9,DVA,,Partial Administration,Multilateral,Loan,ADF,3400,Health and Social Protection,,Health Systems,,,,,,09/30/2011,06/18/2012,,,,Sovereign,,,,,"DR 2011. new proj pp 15, 17."
18,7,0,25,0,20,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"OFID,Switzerland",2011,2011,,2796/0267/8257,38426-023,,,NEP,Decentralized Rural Infrastructure and Livelihood (Additional Financing),SARD,SAER,10/31/2011,,18,7,,25,,,,,,,,,,"ADF,ADF Grant",3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,Grant 0267 for ADF Grant,
OFID,OFID,2011,2011,8257,2796/0267/8257,38426-023,,,NEP,Decentralized Rural Infrastructure and Livelihood (Additional Financing),SARD,SAER,10/31/2011,,,,,0,,20,,20,DVA,,Partial Administration,Multilateral,Loan,"ADF,ADF Grant",3700,Transport and ICT,,,,,,,,10/31/2011,04/23/2012,,,,Sovereign,,,,,
0,0,0,62,0,30,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2011,2011,,2836/8267,41076,,,PHI,Road Improvement and Institutional Development,SERD,SETC,12/15/2011,62,,,,62,,,,,,,,,,,3700,Transport and ICT,,,,,,,,,,,,,,,,,,"DR 2011. para on project-specific cof, new proj pp 11,13."
OFID,OFID,2011,2011,8267,2836/8267,41076,,,PHI,Road Improvement and Institutional Development,SERD,SETC,12/15/2011,,,,,0,,30,,30,DVA,,Partial Administration,Multilateral,Loan,,3700,Transport and ICT,,,10/12/2009,,,No,,12/15/2011,07/20/2012,,,,Sovereign,,,,,"DR 2011. para on project-specific cof, new proj pp 11,13."
198,0,0,198,0,30,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"ADFD,OFID",2012,2012,,2949/8263,40540-014,,,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,,198,,,198,,,,,,,,,,,3700,Transport and ICT,3701,Road Transport,,,,,,,,,,,,,,,with piggy back TA8221,"DR 2012. para on 2012 Highlights on FCAs, pp 30; para on ADFD FCA, pp 43."
OFID,OFID,2012,2012,8263,2949/8263,40540-014,,,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,,,,,0,,30,,30,DVA,PS,Partial Administration,Multilateral,Loan,,3700,Transport and ICT,,Road Transport,,,,No,,11/22/2012,,,,,Sovereign,,,,,"DR 2012. para on 2012 Highlights on FCAs, pp 30; para on ADFD FCA, pp 43."
45,0,0,45,0,10,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2012,2012,,2979/8264/0468,42361-013,,,CAM,Medium-Voltage Sub-Transmission Expansion Sector,SERD,SEEN,12/14/2012,,45,,,45,,,,,,,,,,,3200,Energy,3215,Energy Sector Development and Institutional Reform,,,Sustainable Economic Growth,,,,,,,,,,,,,
OFID,OFID,2012,2012,8264,2979/8264/0468,42361-014,,,CAM,Medium-Voltage Sub-Transmission Expansion Sector,SERD,SEEN,12/14/2012,,,,,0,,10,,10,DVA,PS,Partial Administration,Multilateral,Loan,,3200,Energy,,,12/13/2012,,,No,,12/14/2012,,,,,Sovereign,,,,,
80,0,0,80,0,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2013,2013,342,3000/0342/8269,43524-014,,,NEP,Kathmandu Valley Wastewater Management,SARD,SAUW,04/26/2013,,80,,,80,,,,,,,,,,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,Environment Sustainability,,,,,,,,,,,,,
OFID,OFID,2013,2013,8269,3000/0342/8269,43524-014,,,NEP,Kathmandu Valley Wastewater Management,SARD,SAUW,04/26/2013,,,,,0,,16,,16,DVA,FW,Partial Administration,Multilateral,Loan,,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,03/20/2013,,,No,,04/26/2013,,,,Approved,Sovereign,,,,,
30,0,0,30,0,30,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2014,2014,,3124/8288,33209-014,,,NEP,Community-Managed Irrigated Agriculture Sector ﾖ Additional Financing,SARD,SAER,11/25/2014,,30,,,30,,,,,,,,,,,3000,"Agriculture, Natural Resources and Rural Development","3022, 3015","Agriculture Production,Irrigation",,,,,,,,,,,,,,,L3124 was approved on 10 Apr 2014,
OFID,OFID,2014,2014,8288,3124/8288,33209-014,,,NEP,Community-Managed Irrigated Agriculture Sector ﾖ Additional Financing,SARD,SAER,11/25/2014,,,,,0,,30,,30,DVA,FW,Partial Administration,Multilateral,Loan,,3000,"Agriculture, Natural Resources and Rural Development",,"Agriculture Production, Irrigation",,,,Yes,,11/25/2014,,,,,Sovereign,,,,,
125,0,0,125,0,40,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2014,2014,,3142/8285,39295-013,,,BAN,Third Urban Governance and Infrastructure Improvement (Sector),SARD,SAUW,07/17/2014,,125,,,125,,,,,,,,,,,3800,Water and Other Urban Infrastructure and Services,3814,Urban Water Supply,,,,,,,,,,,,,,,,
OFID,OFID,2014,2014,8285,3142/8285,39295-013,,,BAN,Third Urban Governance and Infrastructure Improvement (Sector),SARD,SAUW,07/17/2014,,,,,0,,40,,40,DVA,FW,Partial Administration,Multilateral,Loan,,3800,Water and Other Urban Infrastructure and Services,,Urban Water Supply,06/10/2014,,,No,,07/17/2014,,,,,Sovereign,,,,,
60,0,0,60,0,20,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"OFID,WFPF-SFPTF",2014,2014,3157,3157/0405/8304,35173-013,,,NEP,Third Small Towns Water Supply and Sanitation Sector,SARD,SAUW,09/19/2014,,60,,,60,,,,,,,,,,,3800,Water and Other Urban Infrastructure and Services,"3813, 3814, 3817","Urban Policy,Institutional and Capacity Development,Urban Water Supply,Urban Sanitation",,,,,,,,,,,,,,,,
OFID,OFID,2014,2014,8304,3157/0405/8304,35173-013,,,NEP,Third Small Towns Water Supply and Sanitation Sector,SARD,SAUW,09/19/2014,,,,,0,,20,,20,DVA,FW,Partial Administration,Multilateral,Loan,,3800,Water and Other Urban Infrastructure and Services,,"Urban Policy, Institutional and Capacity Development, Urban Water Supply, Urban Sanitation",,,,No,,09/19/2014,,,,,Sovereign,,,,,
35,0,0,35,0,15,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"EIB,GEF,OFID,AsIF",2015,2015,3250,3250/0471/8303,45041-002,,,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,35,,,35,,,,,,,,,,,3700,Transport,3715,Urban Public Transport,,,,,,,,,,,,,,,,
OFID,OFID,2015,2015,8303,3250/0471/8303,45041-002,,,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,,,,0,,15,,15,DVA,FW,Partial Administration,Multilateral,Loan,,3700,Transport,,Urban Public Transport,,,,No,,03/10/2015,,,,,Sovereign,,,,,
,,,,,,,,,,,0,35,0,0,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Others,Phu Bia Mining Limited",2013,2013,363,3041/0363,45301-002,,,LAO,Water Supply and Sanitation Sector,SERD,SEUW,10/09/2013,,35,,,35,,,,,,,,,,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,Sustainable Economic Growth,,,,,,,,,,,,,
,,,,,,,,,,,0,35,0,0,35,6,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,35,6,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Others,Phu Bia Mining Limited",2013,2013,363,3041/0363,45301-002,,,LAO,Water Supply and Sanitation Sector,SERD,SEUW,10/09/2013,,35,,,35,,,,,,,,,,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,Sustainable Economic Growth,,,,,,,,,,,,,
Phu Bia Mining Limited,Phu Bia Mining Limited,2013,2013,363,3041/0363,45301-002,,,LAO,Water Supply and Sanitation Sector,SERD,SEUW,10/09/2013,,,,,0,6,,,6,DVA,PS,Full Administration,Private Sector,Grant,,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,10/09/2013,,,,,Sovereign,,,,,
,,,,,,,,,,,0,12,0,0,12,12.79,0,0,12.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1.18,0,0,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIF,PRIF,2011,2011,,2718,44281-013,,,,Road Rehabilitation,PARD,SPSO,03/01/2011,,,,,0,1.18,,,1.18,Non-DVA,PS,,Multilateral,Grant,ADF,3700,Transport and ICT,,,,,,Yes,,03/01/2011,,,,,Sovereign,,,,,"DR 2010. para on new proj of the year, pp 14."
12,0,0,12,4.61,0,0,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"World Bank,PRIF",2010,2010,,2718,44281-013,,,KIR,Road Rehabilitation,PARD,SPSO,12/10/2010,0,12,0,,12,,,,,,,,,,ADF,3700,Transport and ICT,,,,,,,,,,,,,,,,,,"DR 2010. para on new proj of the year, pp 14."
Asian Development Bank,"World Bank,PRIF",2011,2011,,2718,44281-013,,,KIR,Road Rehabilitation,PARD,SPSO,03/01/2011,0,0,0,,0,,,,,,,,,,ADF,3700,Transport and ICT,,,,,,,,,,,,,,,,,,"DR 2010. para on new proj of the year, pp 14."
PRIF,PRIF,2010,2010,2718 (CG),2718,44281-013,,,KIR,Road Rehabilitation,PARD,SPSO,12/10/2010,,,,,0,4.61,,,4.61,DVA,Others,Collaborative,Multilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,12/10/2010,08/26/2011,,,,Sovereign,,,,Multidonor. Collaborative grant $4.61; managed by WB,"DR 2010. para on new proj of the year, pp 14."
0,0,0,0,7,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"World Bank,PRIF",2015,2015,,2718,44281-013,,,KIR,Road Rehabilitation (Supplementary),PARD,SPSO,06/23/2015,0,0,0,,0,,,,,,,,,,ADF,3700,Transport,,,,,,,,,,,,,,,,,,"DR 2010. para on new proj of the year, pp 14."
PRIF,PriF,2015,2015,,2718,44281-013,,,KIR,Road Rehabilitation (Supplementary),PARD,SPSO,06/23/2015,,,,,0,7,,,7,DVA,PS,Collaborative,Multilateral,Grant,ADF,3700,Transport,,,,,,Yes,,06/23/2015,,,,,Sovereign,,,,,"DR 2010. para on new proj of the year, pp 14."
,,,,,,,,,,,608.57,72.51,0,0,681.08,3.2,429.69,0,432.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,30,0,30,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"P.R.C.,Thailand",2002,2002,,1989,,,,LAO,GMS: Northern Economic Corridor,SERD,SEID,12/20/2002,0,30,0,,30,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
"China,People's Rep.of",P.R.C.,2002,2002,,1989,,,,LAO,GMS: Northern Economic Corridor,SERD,SEID,12/20/2002,,,,,0,,30,,30,Non-DVA,,,Bilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,12/20/2002,,,,,Sovereign,,,,,
42.51,0,0,42.51,3.2,0,0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"P.R.C.,Korea",2004,2004,,2087,35377-01,,,MON,Regional Road Development,EARD,EATC,07/22/2004,0,42.51,0,,42.51,,,,,,,,,,ADF,3700,Transport and ICT,,,,,,,,,,,,,,,,,,
"China,People's Rep.of",P.R.C.,2004,2004,,2087,35377-01,,,MON,Regional Road Development,EARD,EATC,07/22/2004,,,,,0,3.2,,,3.2,Non-DVA,,,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,07/22/2004,,,,,Sovereign,,,,,
0,0,0,58.57,0,14.6,0,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"P.R.C.,World Bank",2009,2009,,2505/7291,,,,PRC,Small Hydropower Development,PSOD,PSIF2,01/13/2009,58.57,0,0,,58.57,,,,,,,,,,OCR,3200,Energy,,,,,,,,,,,,,,,,,,
China CDM Fund,P.R.C.,2009,2009,,2505/7291,,,,PRC,Small Hydropower Development,PSOD,PSIF2,01/13/2009,,,,,0,,14.6,,14.6,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,01/13/2009,,,,,Non-Sovereign,,,,,
0,0,0,150,0,65.4,0,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,P.R.C.,2012,2012,,2962,43031-013,,,PRC,Hunan Xiangjiang Inland Waterway Transport,EARD,EATC,12/07/2012,150,,,,150,,,,,,,,,,,3700,Transport and ICT,3702,Water Transport,,,Sustainable Economic Growth,,,,,,,,,,,,,
China Construction Bank Corporation,P.R.C.,2012,2012,,2962,43031-013,,,PRC,Hunan Xiangjiang Inland Waterway Transport,EARD,EATC,12/07/2012,,,,,0,,65.4,,65.4,DVA,PS,Collaborative,Bilateral,Loan,,3700,Transport and ICT,,Water Transport,,,,No,,12/07/2012,,,,,Sovereign,,,,"MOU collab cof  signed between ADB project officer Xiaohong Yang and Tao He, VP Changsha, Tieying BRanch, CCB.  ref email: H Carnecer to MJS 25 Jan 2013.",
0,0,0,150,0,75.58,0,75.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,P.R.C.,2013,2013,3075,3075,46058-002,,,PRC,Qinghai Delingha Concentrated Solar Thermal Power,EARD,EAEN,12/02/2013,150,,,,150,,,,,,,,,,,3200,Energy,3203,Renewable Energy,,,Environment Sustainability,,,,,,,,,,,,,
Export-Import Bank of China,P.R.C.,2013,2013,3075,3075,46058-002,,,PRC,Qinghai Delingha Concentrated Solar Thermal Power,EARD,EAEN,12/02/2013,,,,,0,,75.58,,75.58,DVA,PS,Collaborative,Bilateral,Loan,,3200,Energy,,Renewable Energy,,,,No,,12/02/2013,,,,,Sovereign,,,,,
0,0,0,150,0,162.38,0,162.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"P.R.C.,SPDB",2014,2014,,3218,47052-002,,,PRC,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region,EARD,EAEN,12/09/2014,150,,,,150,,,,,,,,,,,3200,Energy,3213,Energy Utility Services,,,,,,,,,,,,,,,Shanghai Pudong Development Bank,
SPDB,"P.R.C.,SpDB",2014,2014,,3218,47052-002,,,PRC,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region,EARD,EAEN,12/09/2014,,,,,0,,162.38,,162.38,DVA,PS,Collaborative,Bilateral,Loan,,3200,Energy,,Energy Utility Services,,,,No,,12/09/2014,,,,,Sovereign,,,,Shanghai Pudong Development Bank - other concessional cofinancing,
0,0,0,100,0,81.73,0,81.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"P.R.C.,China Construction Bank",2015,2015,3308,3308,47051-002,,,PRC,Chemical Industry Energy Efficiency and Emission Reduction,EARD,EAOD,10/30/2015,100,,,,100,,,,,,,,,,,3200,Energy,3214,Energy Efficiency and Conservation,,,,,,,,,,,,,,,,
China Construction Bank,"P.R.C.,China Construction Bank",2015,2015,,3308,47051-002,,,PRC,Chemical Industry Energy Efficiency and Emission Reduction,EARD,EAOD,10/30/2015,,,,,0,,81.73,,81.73,DVA,PS,Collaborative,Bilateral,Loan,,3200,Energy,3214,Energy Efficiency and Conservation,04/17/2015,,,No,,10/30/2015,,,,Approved,Sovereign,,,,,
,,,,,,,,,,,378.81,362,0,0,740.81,0,524.7,0,524.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,0,50,0,80,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Saudi Arabia,1975,1975,,0252-0253,,,,PAK,Mirpur Mathelo Fertilizer,CWRD,,12/18/1975,0,50,0,,50,,,,,,,,,,ADF,3500,Industry and Trade,,,,,,,,,,,,,,,,, LISTED IN LOANS FROM ORDINARY CAPITAL RESOURCES AS WELL AS FROM THE ASIAN DEVELOPMENT FUND.  OCR = 38.00 ADF = 12.00,
Saudi Fund for Development,Saudi Arabia,1975,1975,,0252-0253,,,,PAK,Mirpur Mathelo Fertilizer,CWRD,,12/18/1975,,,,,0,,80,,80,Non-DVA,,,Bilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,12/18/1975,,,,,Sovereign,,,,,
0,0,0,48.21,0,50,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Saudi Arabia,1976,1976,,277,,,,INO,Second Road,SERD,,10/28/1976,48.21,0,0,,48.21,,,,,,,,,,OCR,3700,Transport and ICT,3701,Road Transport,,,Sustainable Economic Growth,,,,,,,,,,,,,
Saudi Fund for Development,Saudi Arabia,1976,1976,,277,,,,INO,Second Road,SERD,,10/28/1976,,,,,0,,50,,50,Non-DVA,,,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,10/28/1976,,,,,Sovereign,,,,,
60,0,0,60,0,92,0,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
