,Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
911,"Japan,JFPR",2015,9182,9182,49168-001,MON,Improving School Dormitory Environment for Primary Students in Western Region,EARD,EASS,11/26/2015,3.0,DVA,CFA/TF,Full Administration,Bilateral,Grant,Education,Sovereign
912,"Japan,JFPR",2015,9183,9183,48216-001,MON,Integrated Livelihoods Improvement and Sustainable Tourism in Khuvsgul Lake National Park,EARD,EAER,12/07/2015,3.0,DVA,CFA/TF,Full Administration,Bilateral,Grant,"Agriculture, Natural Resources and Rural Development",Sovereign
913,"Japan,JFPR",2015,,9184,48322-001,MYA,Economic Empowerment of the Poor and Women in the East-West Economic Corridor,SERD,SEOD,12/15/2015,3.0,DVA,CFA/TF,Full Administration,Bilateral,Grant,"Agriculture, Natural Resources and Rural Development",Sovereign
915,"Japan,JICA",2014,3126 (CL),3126,47015-001,PAK,Sustainable Energy Sector Reform Program ﾖ Subprogram 1 (additional),CWRD,CWEN,06/04/2014,49.0,DVA,PS,Collaborative,Bilateral,Loan,Energy,Sovereign
916,"Japan,JICA",2014,,3227/3228,47293-001,VIE,Improving Competitiveness Program,SERD,VRM,11/28/2014,150.0,DVA,PS,Collaborative,Bilateral,Loan,Public Sector Management,Sovereign
917,"Japan,JICA",2016,3260,3260,49215-001,NEP,Earthquake Emergency Assistance Project,SARD,NRM,03/11/2016,115.3,DVA,PS,Collaborative,Bilateral,Loan,Education,Sovereign
918,"Japan,JICA",2016,,3321/3322,47015-002,PAK,Sustainable Energy Sector Reform Program - Subprogram 2 ,CWRD,CWEN,02/02/2016,41.32,DVA,PS,Collaborative,Bilateral,Loan,Energy,Sovereign
920,"Korea,KEXIM",2015,,3047,44213-016,BAN,Secondary Education Sector Investment ProgramﾗTranche 1 (Supplementary),SARD,SAHS,07/20/2015,39.0,DVA,FW,Collaborative,Bilateral,Loan,Education,Sovereign
922,"Germany,KfW",2015,3356,3356,49232-001,PRC,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program,EARD,EASS,12/10/2015,166.65,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
923,"Germany,KfW",2015,3374,3374,42039-036,VIE,Power Transmission Investment Program-Tranche 3,SERD,SEEN,12/18/2015,71.0,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
924,"Germany,KfW",2015,,3083/8276,42362-013,INO,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing,SERD,SEEN,10/28/2015,57.0,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
925,"Germany,KfW",2015,,3365,44426-016,IND,Green Energy Corridor and Grid Strengthening,SARD,SAEN,12/09/2015,625.0,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
927,"Korea,KOICA",2013,3047 (CG),3047,44213-016,BAN,Secondary Education Sector Investment Program - Tranche 1 (Supplementary),SARD,SAHS,12/16/2013,3.5,DVA,,Collaborative,Bilateral,Grant,Education,Sovereign
929,Korea,1993,,1288,27231,PHI,Power Transmission,SERD,SEID,12/14/1993,10.7,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
930,Korea,2004,,2087,35377-01,MON,Regional Road Development,EARD,EATC,07/22/2004,23.88,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
931,Korea,2006,70,2307/0070,35376,MON,Customs Modernization,EARD,EARG,12/20/2006,0.5,DVA,,Full Administration,Bilateral,Grant,Industry and Trade,Sovereign
932,Korea,2007,2372(CL),2372/0095/2988/0337,36353-013,VIE,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),SERD,,11/28/2007,50.0,Non-DVA,FW,,Bilateral,Loan,Transport and ICT,Sovereign
933,Korea,2007,,0082/8241,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,22.4,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
934,Korea,2008,,2419/7276,,IND,Mundra Ultra Mega Power,PSOD,PSIF1,04/17/2008,500.0,Non-DVA,,,Bilateral,Loan,Energy,Non-Sovereign
935,Korea,2009,2539 (CL),2539,42358,CAM,Greater Mekong Subregion: Cambodia Northwest Provincial Road Improvement,SERD,SETU,08/24/2009,25.58,DVA,FW,Collaborative,Bilateral,Loan,Transport and ICT,Sovereign
936,Korea,2009,,2511/0147,41013,VIE,Thanh Hoa City Comprehensive Socioeconomic Development,SERD,SEID,03/05/2009,32.7,DVA,,Collaborative,Bilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
937,Korea,2010,195,195,,LAO,Greater Mekong Subregion Northern Power Transmission,SERD,SEEW,01/26/2010,37.88,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
938,Korea,2010,2372(CL),2372/0095/2988/0337,36353-013,VIE,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary),SERD,,12/21/2010,70.0,DVA,FW,Collaborative,Bilateral,Loan,Transport and ICT,Sovereign
939,Korea,2010,2670 (CL),2670,42334,CAM,Rural Roads Improvement,SERD,SETU,09/23/2010,21.0,DVA,FW,Collaborative,Bilateral,Loan,Transport and ICT,Sovereign
940,Korea,2011,2610 (CL),2610,39595-033,VIE,Mong Duong 1 Thermal Power ﾖ Tranche 2,SERD,SEEN,12/05/2011,510.0,DVA,,Collaborative,Bilateral,Loan,Energy,Sovereign
941,Korea,2011,2826 (CL),2826,41462-013,VIE,"Comprehensive Socioeconomic Urban Development in Viet Tri, Hung Yen, and Dong Dang",SERD,,12/08/2011,13.52,DVA,,Collaborative,Bilateral,Loan,Transport,Sovereign
942,Korea,2013,353,3013/0353,40255-033,VIE,Central Mekong Delta Region Connectivity ,SERD,SETC,08/05/2013,260.0,DVA,FW,Collaborative,Bilateral,Loan,Transport and ICT,Sovereign
943,Korea,2014,3119 (CL),3119/3120,42251-018,SRI,Skills Sector Enhancement Program,SARD,SAHS,03/28/2014,26.0,DVA,FW,Collaborative,Bilateral,Loan,Education,Sovereign
944,Korea,2014,3151 (CL),3151/401/402/466/467/8299/8300,42334-014,CAM,Rural Roads Improvement II,SERD,SETC,08/08/2014,41.0,DVA,FW,Collaborative,Bilateral,Loan,Transport,Sovereign
945,"Korea,KEXIM",2015,,3047,44213-016,BAN,Secondary Education Sector Investment ProgramﾗTranche 1 (Supplementary),SARD,SAHS,07/20/2015,39.0,DVA,FW,Collaborative,Bilateral,Loan,Education,Sovereign
946,"Korea,KOICA",2013,3047 (CG),3047,44213-016,BAN,Secondary Education Sector Investment Program - Tranche 1 (Supplementary),SARD,SAHS,12/16/2013,3.5,DVA,,Collaborative,Bilateral,Grant,Education,Sovereign
948,Kuwait,1975,,231,,SRI,Urea Fertilizer,SARD,,09/18/1975,25.0,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
949,Kuwait,1978,,372,,MAL,Trengganu Hydropower,SERD,SEID,12/05/1978,14.7,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
950,Kuwait,1979,,403,,SRI,Urea Fertilizer (Supplementary),SARD,AWFN,06/21/1979,2.09,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
951,Kuwait,1982,,587,15076,BAN,Ashuganj Thermal Power Generation,SARD,,10/21/1982,35.0,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
952,Kuwait,1982,,597,,PHI,Third Road Improvement,SERD,,11/11/1982,11.5,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
953,Kuwait,1996,,1473,,PHI,Sixth Road,SERD,,09/30/1996,27.14,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
954,Kuwait,2003,9024 (PG),9024/0076,,AFG,Road Employment Project for Settlement and Integration of Returning Refugees and Displaced Persons (Supplementary),CWRD,,05/26/2003,15.0,DVA,,Partial Administration,Bilateral,Grant,Transport and ICT,Sovereign
955,Kuwait,2015,,3124/8288,33209-014,NEP,Community-Managed Irrigated Agriculture SectorﾗAdditional Financing,SARD,SAER,05/05/2015,17.0,DVA,PS,Collaborative,Bilateral,Loan,"Agriculture, Natural Resources and Rural Development",Sovereign
957,Malaysia,2006,,2288/2602/0187,37269-023,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia,SERD,SEID,12/13/2006,2.8,Non-DVA,,,Bilateral,Grant,Transport and ICT,Sovereign
959,MDTF-WFPF,2008,131,2466/0131,40007,UZB,Surkhandarya Water Supply and Sanitation,CWRD,,11/03/2008,1.5,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
960,MDTF-WFPF,2009,147,2511/0147,41013,VIE,Thanh Hoa City Comprehensive Socioeconomic Development,SERD,SEID,03/05/2009,1.2,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
961,MDTF-WFPF,2009,159,2550/0159,42382-013,PRC,Liaoning Small Cities and Towns Development Demonstration Sector,EARD,,09/18/2009,0.25,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Transport,Sovereign
962,MDTF-WFPF,2009,171,2574/0171,40641,PRC,Hebei Small Cities and Towns Development Sector,EARD,,11/06/2009,0.25,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
963,MDTF-WFPF,2009,188,2607/0188/0189,38662,PRC,Shanxi Integrated Agricultural Development,EARD,,12/16/2009,0.5,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Agriculture and Natural Resources,Sovereign
964,MDTF-WFPF,2009,190,2606,42383-023,PRC,Shanxi Small Cities and Towns Development Demonstration Sector,EARD,,12/18/2009,0.25,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,"Agriculture, Natural Resources and Rural Development",Sovereign
965,MDTF-WFPF,2014,387,2795/0263/0387,43072-013,KIR,South Tarawa Sanitation Improvement Sector ﾖ Additional Financing,PARD,PAUS,05/14/2014,0.61,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Water and Other Urban Infrastructure and Services,Sovereign
967,NDF,1992,,1185,,PAK,Provincial Highways,CWRD,,11/05/1992,5.4,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
968,NDF,1993,,1266,26366,LAO,Airports Improvement,SERD,SEID,11/18/1993,6.8,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
969,NDF,1994,,1300/2194(L),,MON,Telecommunications,EARD,EATC,06/16/1994,6.74,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
970,NDF,1994,,1329,,LAO,Theun-Hinboun Hydropower,SERD,,11/08/1994,7.25,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
971,NDF,1994,,1334,,MON,Power Rehabilitation,EARD,,11/24/1994,5.45,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
972,NDF,1996,,1430,,NEP,Himal Power,PSOD,PSOD,01/23/1996,3.0,Non-DVA,,,Multilateral,Loan,Energy,Non-Sovereign
973,NDF,1996,,1443,,KGZ,Power & District Heating Rehab.,CWRD,,11/01/1996,5.2,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
974,NDF,1996,,1478,,BAN,Jamuna Bridge Access Roads,SARD,SAID,08/13/1996,2.14,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
975,NDF,1997,,1532,,MLD,Third Power Systems Development,SARD,SAEN,09/01/1997,5.1,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
976,NDF,1997,,1538,,BAN,Urban Primary Health Care,SARD,SASS,09/16/1997,1.64,Non-DVA,,,Multilateral,Loan,Health and Social Protection,Sovereign
977,NDF,1997,,1558,,LAO,Power Transmission and Distribution,SERD,,09/30/1997,6.86,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
978,NDF,1998,,1655,,VIE,Vocational and Technical Education,SERD,,12/11/1998,6.35,Non-DVA,,,Multilateral,Loan,Education,Sovereign
979,NDF,1999,,1707,,SRI,Skills Development,SARD,SASS,10/28/1999,6.71,Non-DVA,,,Multilateral,Loan,Education,Sovereign
980,NDF,1999,,1708,,BAN,Southwest Road Network Development,SARD,,09/08/1999,3.89,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
981,NDF,1999,,1711,26522-01,SRI,Southern Transport Dev,SARD,SAID,09/08/1999,6.7,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
982,NDF,2000,8235,1820/8235,31624,NEP,Melamchi Water Supply,SARD,SASS,12/21/2000,10.5,DVA,PS,Partial Administration,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
983,NDF,2000,,1750,,PHI,Technical Education and Skills Development,SERD,,08/24/2000,8.0,Non-DVA,,,Multilateral,Loan,Education,Sovereign
984,NDF,2000,,1756,,SRI,Secondary Education Modernization,SARD,SASS,09/28/2000,6.45,Non-DVA,,,Multilateral,Loan,Education,Sovereign
985,NDF,2001,,1836,,MON,Social Security Sector Development Program (Investment Loan),EARD,EAGF,08/28/2001,4.0,Non-DVA,,,Multilateral,Loan,Health and Social Protection,Sovereign
986,NDF,2001,,1843,,PHI,Mindanao Basic Urban Services Sector,SERD,SESS,09/27/2001,6.0,Non-DVA,,,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
987,NDF,2001,,1884-1885,,BAN,West Zone Power System Development,SARD,,12/17/2001,10.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
988,NDF,2002,,1908,,MON,Second Education Development,EARD,EASS,08/06/2002,4.8,Non-DVA,,,Multilateral,Loan,Education,Sovereign
989,NDF,2002,,1942-1943,,BAN,Dhaka Clean Fuel,SARD,SAID,11/26/2002,9.3,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
990,NDF,2003,,2005,31341,LAO,Northern Area Rural Power Distribution,SERD,SEID,09/18/2003,13.04,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
991,NDF,2003,,2039,36205-02,BAN,Power Sector Development Program (Project Loan),SARD,SAEN,12/10/2003,9.6,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
992,NDF,2003,,2052,34390,CAM,Greater Mekong Subregion Transmission,SERD,SEID,12/15/2003,11.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
993,NDF,2004,,2085/8217,30271,LAO,Roads for Rural Development,SERD,SEID,06/28/2004,7.3,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
994,NDF,2005,,2195,34356,VIE,Central Region Transport Networks Improvement Sector,SERD,SEID,11/11/2005,13.92,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
995,NDF,2010,2670 (CG),2670,42334,CAM,Rural Roads Improvement,SERD,SETU,09/23/2010,5.4,DVA,Others,Collaborative,Multilateral,Grant,Transport and ICT,Sovereign
996,NDF,2011,2789 (CG),2789,41433-013,VIE,Transport Connections in Northern Mountainous Provinces,SERD,SETC,09/30/2011,2.78,DVA,,Collaborative,Multilateral,Grant,Transport and ICT,Sovereign
997,NDF,2013,358,0357/0358,44214-024,NEP,Building Climate Resilience of Watersheds in Mountain Eco-Regions,SARD,SAER,09/23/2013,4.63,DVA,FW,Partial Administration,Multilateral,Grant,Agriculture and Natural Resources,Sovereign
998,NDF,2014,401,3151/401/402/466/467/8299/8300,42334-014,CAM,Rural Roads Improvement II,SERD,SETC,08/08/2014,5.4,DVA,FW,Full Administration,Multilateral,Grant,Transport,Sovereign
1000,Neighbourhood Investment Facility,2013,2993 (CG),2993,42145-043,ARM,North-South Road Corridor Investment ProgramﾗTranche 3,CWRD,CWTC,09/27/2013,7.9,DVA,Others,Collaborative,Multilateral,Grant,Transport,Sovereign
1002,Netherlands,1984,,712,,SRI,Plantation Sector,SARD,SAAE,11/01/1984,8.3,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
1003,Netherlands,1984,,714,,BAN,Second Natural Gas Development,SARD,,12/06/1984,7.8,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1004,Netherlands,1985,,768,,INO,Second Bandung Urban Development,SERD,,12/12/1985,6.01,Non-DVA,,,Bilateral,Loan,Multisector,Sovereign
1005,Netherlands,1987,,0860-0861,,INO,Third Irrigation Sector,SERD,,11/17/1987,7.5,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
1006,Netherlands,1992,1842(L),1137/1633(L)/1842(L),24250,PHI,Second NGO Microcredit (Supplementary),SERD,,05/29/1992,1.8,DVA,PS,Full Administration,Bilateral,Grant,Finance,Sovereign
1007,Netherlands,1994,2193,2193(L),,IND,Energy Efficiency Support,SARD,SARD,10/27/1994,3.0,DVA,PS,Full Administration,Bilateral,Grant,Energy,Sovereign
1008,Netherlands,1994,,1301,,PAK,Social Action Program (Sector),CWRD,,06/23/1994,13.0,Non-DVA,,,Bilateral,Loan,Multisector,Sovereign
1009,Netherlands,1996,2563(L),1403/2563(L),23319,PAK,Forestry Sector,CWRD,,04/30/1996,14.15,DVA,,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1010,Netherlands,1996,2564,1381/2564,,BAN,Beneficiary Participation and Project Management,SARD,AWAR,05/02/1996,6.8,DVA,PS,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1011,Netherlands,1996,,1493,,PAK,Social Action Program (Sector) Project II,CWRD,,11/28/1996,35.0,Non-DVA,,,Bilateral,Loan,Multisector,Sovereign
1012,Netherlands,1997,2852,1515/2852(L),29204,VIE,Forestry Sector,SERD,SEAE,08/20/1997,7.0,DVA,PS,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1013,Netherlands,1999,3300,1643/3158(L)/3300(L),30032,BAN,Sundarbans Biodiversity Conservation (Supplementary),SARD,SAAE,11/10/1999,3.5,DVA,PS,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1014,Netherlands,2000,3477(L),1716/3477(L),31287,SRI,Coastal Resource Management,SARD,SAOC,08/04/2000,12.76,DVA,PS,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1015,Netherlands,2001,3778(L),1767/3519(L)/3778(L),31381,SRI,Protected Area Management and Wildlife Conservations,SARD,,09/13/2001,4.0,DVA,PS,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1016,Netherlands,2001,2564,1381/2564,,BAN,Beneficiary Participation and Project Management (Supplementary),SARD,AWAR,02/14/2001,0.2,DVA,PS,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1017,Netherlands,2001,3683,1831/3683(L),30209,BAN,Small Scale Water Resources Development Sector II,SARD,SAAE,07/12/2001,24.3,DVA,PS,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1018,Netherlands,2001,3742 (L),1846/3742(L),34442,SRI,North East Community Restoration and Development,SARD,SAOC,10/16/2001,0.5,DVA,,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1019,Netherlands,2002,3892,1855/3892(L),30292,VIE,Second Red River Basin Sector,SERD,SEAE,06/27/2002,10.6,DVA,PS,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1020,Netherlands,2002,4008,1953/4007(L)/4008(L),35274,CAM,Commune Council Development,SERD,SEGF,12/03/2002,2.4,DVA,PS,Full Administration,Bilateral,Grant,Public Sector Management,Sovereign
1021,Netherlands,2002,4022,1964/4022(L),35261,INO,Sustainable Capacity Building for Decentralization,SERD,IRM,12/10/2002,8.54,DVA,PS,Full Administration,Bilateral,Grant,Public Sector Management,Sovereign
1022,Netherlands,2002,4032,1974/4032(L),31328,IND,Modernizing Government and Fiscal Reform in Kerala,SARD,SAGF,12/16/2002,50.0,DVA,PS,Full Administration,Bilateral,Grant,Public Sector Management,Sovereign
1023,Netherlands,2003,4209(L),2015/4209(L),30216,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,50.0,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
1024,Netherlands,2003,4299,2064/2065/4299(L),32359,INO,Participatory Irrigation Sector,SERD,SEAE,12/18/2003,15.0,DVA,PS,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1025,Netherlands,2003,,2027,33249,SRI,North East Coastal Community Development,SARD,SAAE,11/28/2003,1.5,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1026,Netherlands,2004,24,2126/2127/0024,35144,INO,State Audit Reform Sector Development Program,SERD,IRM,12/13/2004,5.0,DVA,PS,Full Administration,Bilateral,Grant,Public Sector Management,Sovereign
1027,Netherlands,2004,4560(L),2109/4560(L),37135,PAK,Supporting Public Resource Management Reforms in Balochistan,CWRD,SAGF,11/26/2004,1.92,DVA,PS,Full Administration,Bilateral,Grant,Public Sector Management,Sovereign
1028,Netherlands,2004,,2123,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,5.0,Non-DVA,,,Bilateral,Grant,Public Sector Management,Sovereign
1029,Netherlands,2005,2,2,,INO,Earthquake and Tsunami Emergency Support,SERD,SEAE,04/07/2005,3.5,DVA,PS,Full Administration,Bilateral,Grant,Multisector,Sovereign
1030,Netherlands,2005,3,2163/2164/0003,34152,INO,Community Water Services and Health,SERD,SESS,04/07/2005,5.0,DVA,PS,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
1031,Netherlands,2005,36,2200/0036/3302/0441,34418,BAN,Southwest Area Integrated Water Resources Planning and Management,SARD,SAAE,11/23/2005,12.5,DVA,PS,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1032,Netherlands,2005,38,2156/0038/0039,38625,BAN,Emergency Flood Damage Rehabilitation,SARD,BRM,01/20/2005,13.0,DVA,PS,Full Administration,Bilateral,Grant,Multisector,Sovereign
